symbol,median_dollar_volume,median_close,n_days
NVDA,28221275433.81,179.93,21
TSLA,25096344655.199997,333.87,21
AAPL,12040422498.0,228.25,21
PLTR,11970360266.16,160.87,21
MSFT,10529350660.8,515.08,21
AMD,9360685558.32,171.7,21
AMZN,8192412635.39,224.56,21
META,6851399977.5,759.34,21
GOOGL,5879266051.5,201.39,21
AVGO,5208586108.0,298.07,21
MSTR,4160370207.25,366.32,21
UNH,4090161126.39,292.02,21
GOOG,3962562150.45,202.45,21
HOOD,3807898570.3399997,107.94,21
LLY,3516898488.1200004,701.02,21
NFLX,3102470108.4,121.39,21
COIN,3055134954.22,310.54,21
CRWV,2715965796.42,102.79,21
BMNR,2702907760.23,49.77,21
ORCL,2510029643.52,241.63,21
APP,2414894846.42,438.68,21
INTC,2296379909.0,23.54,21
TSM,2257852048.12,236.7,21
COST,2135593488.29,964.06,21
CRM,2002706807.76,243.94,21
MU,1992981999.58,117.56,21
V,1990685679.2,340.02,21
JPM,1919988757.0800002,286.06,21
WMT,1766241036.0,99.17,21
PANW,1690958209.29,176.86,21
NOW,1660209577.5,177.35,21
BAC,1613628203.1999998,46.69,21
RDDT,1585982972.0,219.43,21
XOM,1571404936.16,103.71,21
UBER,1508458212.24,92.67,21
JNJ,1450390801.05,171.11,21
GEV,1426622177.25,624.49,21
BABA,1419423290.82,119.88,21
CAT,1383203993.8,415.3,21
MA,1381988666.5,580.14,21
CSCO,1371054727.49,67.05,21
CRCL,1370400830.92,141.58,21
SOFI,1347249920.5,23.33,21
SMCI,1311002986.3200002,45.2,21
ADBE,1305657282.6799998,353.43,21
BA,1278859769.6000001,229.12,21
INTU,1237137064.9599998,702.75,21
HIMS,1205328989.2,46.02,21
AMAT,1201704530.94,164.36,21
LRCX,1162373705.5700002,99.6,21
HD,1140073649.0,389.04,21
CVX,1139833668.18,147.63,21
GS,1109805877.99,716.3,21
SPOT,1102722804.6499999,692.99,21
C,1101034131.0,91.8,21
QCOM,1089366842.16,153.02,21
ACN,1088469306.99,247.84,21
ANET,1086458846.0500002,136.23,21
PEP,1083638650.72,142.02,21
CRWD,1076911106.8799999,106.25,21
WFC,1076029846.2,76.19,21
TXN,1059184526.0400001,189.42,21
OKLO,1035092029.4399999,73.64,21
GE,1028974238.3699999,270.64,21
IBM,1015050835.3000001,236.13,21
SHOP,999702061.5600001,141.47,21
PG,989608568.9999999,150.97,21
MCD,986424454.63,301.61,21
BKNG,977881811.25,219.42,21
MRVL,929235880.2,75.69,21
TMO,925883902.6500001,483.28,21
RBLX,923542453.5,125.03,21
TMUS,917717089.21,245.14,21
NVO,886236229.06,50.29,21
ALAB,877168437.26,179.09,21
PFE,875517904.64,23.29,21
WDAY,873902154.98,224.98,21
ABBV,869885311.67,199.99,21
ASML,864931378.01,738.48,21
CVNA,863843818.6,70.98,21
MRK,861340796.0999999,80.52,21
ADI,858630006.24,228.97,21
MP,856137290.68,71.14,21
FTNT,846590436.78,78.77,21
KO,841791804.88,67.63,21
ISRG,835258755.65,476.16,21
KLAC,826967948.1,88.16,21
SNOW,823891351.11,196.87,21
MELI,821982720.2800001,2364.01,21
UNP,818449810.8299999,217.72,21
DIS,812975471.6,114.93,21
RKLB,811604742.4499999,44.54,21
VRT,811252596.6,134.08,21
PM,803804901.6,161.15,21
AAL,789910582.1999999,12.98,21
OPEN,789012223.44,3.17,21
PDD,781060496.67,118.0,21
T,777727771.5,27.44,21
DASH,772406868.66,248.37,21
ETN,769936499.4000001,352.17,21
