hypothesis_id,signal,horizon_bars,ic_raw,ic,t_hac_raw,t_iid,t_hac,n_raw,n_effective,n_effective_naive,variance_inflation,p_value,p_value_bh,p_value_by,ic_entry_lag0_DIAGNOSTIC,note
H003,timeseries_momentum,30,0.0032743355321943383,0.008772704769236177,0.7910326980993279,26.27342665360215,3.1433660960810386,8968774,128669.29432915959,298959.13333333336,69.7040738954877,0.0016701681061135312,0.0016701681061135312,0.005837418039623241,0.008171220675961256,
H001,zscore_reversion,130,-0.004983367221606014,-0.008154057409647097,-1.2534467733083985,-20.74324779467918,-3.003752930601305,6471087,142111.5652641641,49777.592307692306,45.535259484132915,0.002666717861783923,0.002823583618359448,0.009868729913990883,-0.006806034894685364,
H005,vol_breakout,130,0.004469321698377366,0.008929213144894829,1.0004332994133827,22.718664821502625,2.849992693636779,6472987,101854.00178870482,49792.20769230769,63.55162179516668,0.004372023340731668,0.004918526258323126,0.017190780858285848,0.008846964449796341,
H002,zscore_momentum,130,0.0038208759572231446,0.012375760723595367,0.6069656302324326,31.464808906799277,2.751577879837917,6463087,55113.53377110978,49716.053846153845,117.26860097270546,0.005930891554956989,0.007117069865948387,0.02487492838156376,0.011749309039020014,
H004,ma_crossover,130,0.002115544949100076,0.00894535695543886,0.40071670397741377,22.74585004110753,2.3762249566444766,6465087,70552.84341522558,49731.43846153846,91.6346767479085,0.01749079574485416,0.022488165957669635,0.07859857050247047,0.009132350601424992,
H003,timeseries_momentum,130,0.00019350712037082265,0.010460895889957873,0.030459576374856134,26.60746905682557,2.2879365498081152,6468774,47900.60054786503,49759.8,135.04578076293697,0.022141216429032304,0.030657068901737035,0.1071497691722821,0.010291996239395938,
H002,zscore_momentum,30,0.003969383778615576,0.007048812970602554,0.8645057089907004,21.103550808021552,2.2850572592071434,8963087,122972.36212077824,298769.56666666665,72.88700359513984,0.022309470520223765,0.03346420578033565,0.11696101595327489,0.005550154659532526,
H004,ma_crossover,30,0.003824131135814253,0.005685406623548945,0.9635091247665835,17.02337852511859,2.1663235496903033,8965087,145210.6740397521,298836.23333333334,61.73848485508556,0.030286471379978978,0.04955968043996561,0.1732164394585516,0.005588322028858052,
H001,zscore_reversion,30,-0.0031813394655037294,-0.004080577495924034,-0.9519587909230982,-12.222153441144982,-1.8609888019902259,8971087,223362.87165688127,299036.23333333334,40.163734166978884,0.06274575806858693,0.11294236452345648,0.39474577061652544,-0.0015542698077620134,
H005,vol_breakout,30,0.004241256614384099,0.004410422397671654,1.1805324728715367,13.211522836787896,1.8468282168358021,8972987,175316.97007411218,299099.56666666665,51.181508533981784,0.06477204098601434,0.12954408197202869,0.4527705673829629,0.004030305511336632,
H006,random_signal,30,-1.1065150389557954e-05,-1.834467260633503e-05,-0.03291871651995963,-0.05495748261236094,-0.055031100011630134,8974987,9001667.14072024,299166.23333333334,0.9970360889485071,0.9561136870995643,1.0,1.0,0.00010156630956189405,
H005,vol_breakout,390,0.001497566364097622,0.0027755687705132556,0.426475889838492,8.648359539249228,1.0581414355126897,9708681,145339.66580946755,24894.053846153845,66.79994030485496,0.2899909662332678,0.6524796740248526,1.0,0.0027792505085721866,"OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
H003,timeseries_momentum,390,0.0003745904478558164,0.0033232432455578597,0.06820707607813745,10.352622904111428,0.822249845513874,9704470,61334.31379503757,24883.25641025641,158.22252503598028,0.41093471507476365,1.0,1.0,0.003308575560056401,"OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
H006,random_signal,130,0.00010126496221967465,0.00040070331045992586,0.23660930288122747,1.01962939811192,0.9440441315019366,6474987,5546832.04700074,49807.592307692306,1.1673306393874192,0.3451470969544511,0.8875211064543028,1.0,0.000443083663344483,
H002,zscore_momentum,390,0.00029743958922427753,0.003040359546330554,0.05630022867389351,9.468594744103,0.7761389658933219,9698783,66064.89870414285,24868.67435897436,146.80690033952627,0.4376669386197558,1.0,1.0,0.0028648587163561208,"OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
H001,zscore_reversion,390,-0.00027944673563218796,-0.001787502924206639,-0.08856737204060322,-5.56910069512115,-0.7671052915715959,9706783,185889.6777426949,24889.18717948718,52.21797744701,0.44301891603591725,1.0,1.0,-0.001419139810398135,"OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
H004,ma_crossover,390,0.0006461023578606111,0.002795677002762205,0.14589037615083042,8.707471091497066,0.8507963432248227,9700783,92665.22143286119,24873.802564102563,104.68634132632506,0.39488249334146464,1.0,1.0,0.002824638062289763,"OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
H006,random_signal,390,0.0002055735648227985,0.0001780418125207538,0.6153120907179291,0.5548132353566043,0.5288793553483051,9710681,8833688.014537487,24899.182051282052,1.0992782384910196,0.596889144069588,1.0,1.0,0.00018056332502570135,"OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
H007,always_long,30,,,,,,8974987,,,,,,,,signal has zero variance; a constant carries no information by construction
H007,always_long,130,,,,,,6474987,,,,,,,,signal has zero variance; a constant carries no information by construction
H007,always_long,390,,,,,,9710681,,,,,,,,"signal has zero variance; a constant carries no information by construction | OVERNIGHT-INCLUSIVE: horizon >= session length, so this measures a gap the intraday mechanism does not describe"
